application_id,customer_id,broker_id,brand,application_channel,submitted_date,loan_amount,property_value,lvr,interest_rate,approved,lvr_bin,rate_bin,month
62,9693,341,Aussie,Online,2019-12-22,542973.0,722648.0,0.751365810186979,4.4,1,"(0.75, 0.8]","(4.0, 4.5]",12
63,6874,26,Mortgage Choice,Online,2022-10-01,243945.0,277882.0,0.8778726221921535,4.61,1,"(0.85, 0.9]","(4.5, 5.0]",10
64,5676,435,Lendi,Online,2022-12-04,296729.0,437702.0,0.6779247067639627,4.48,1,"(0.65, 0.7]","(4.0, 4.5]",12
65,162,121,Mortgage Choice,Broker,2022-09-26,153772.0,179635.0,0.8560247167868177,5.26,1,"(0.85, 0.9]","(5.0, 5.5]",9
66,4298,50,Lendi,Online,2023-10-22,331079.0,393422.0,0.8415365688751518,4.6,0,"(0.8, 0.85]","(4.5, 5.0]",10
67,996,371,Lendi,Broker,2017-04-11,187703.0,242339.0,0.7745472251680497,4.39,1,"(0.75, 0.8]","(4.0, 4.5]",4
68,7630,252,Aussie,Online,2020-07-26,328892.0,472782.0,0.6956525417634343,4.44,1,"(0.65, 0.7]","(4.0, 4.5]",7
69,9468,36,Mortgage Choice,Broker,2022-11-25,211312.0,275325.0,0.7675002270044493,5.08,1,"(0.75, 0.8]","(5.0, 5.5]",11
70,1017,410,Lendi,Broker,2019-09-10,276006.0,311110.0,0.8871653113046832,5.11,0,"(0.85, 0.9]","(5.0, 5.5]",9
71,7870,289,Aussie,Broker,2023-08-04,396255.0,633631.0,0.6253718646972765,4.43,1,"(0.6, 0.65]","(4.0, 4.5]",8
72,6440,379,Mortgage Choice,Broker,2019-06-06,189735.0,287346.0,0.6603015180305276,4.02,0,"(0.65, 0.7]","(4.0, 4.5]",6
73,7893,100,Lendi,Broker,2019-03-11,211888.0,267142.0,0.7931661812818651,4.5,1,"(0.75, 0.8]","(4.0, 4.5]",3
74,6864,324,Aussie,Broker,2019-10-23,168524.0,209730.0,0.8035283459686263,4.32,0,"(0.8, 0.85]","(4.0, 4.5]",10
75,7917,329,Aussie,Broker,2021-02-24,220700.0,339883.0,0.6493410967891893,3.88,1,"(0.6, 0.65]","(3.5, 4.0]",2
76,8530,136,Aussie,Broker,2022-03-19,252697.0,300155.0,0.8418883576818643,4.44,0,"(0.8, 0.85]","(4.0, 4.5]",3
77,879,194,Loan Market,Broker,2022-03-29,157204.0,178937.0,0.8785438450404333,5.25,1,"(0.85, 0.9]","(5.0, 5.5]",3
78,9269,221,Loan Market,Broker,2020-07-19,166995.0,267663.0,0.6239002028670381,4.51,1,"(0.6, 0.65]","(4.5, 5.0]",7
79,4888,279,Mortgage Choice,Online,2020-03-13,246536.0,276301.0,0.8922732816746953,4.95,1,"(0.85, 0.9]","(4.5, 5.0]",3
80,4860,326,Mortgage Choice,Broker,2018-03-11,552597.0,807461.0,0.6843637030147586,4.12,1,"(0.65, 0.7]","(4.0, 4.5]",3
81,6332,55,Loan Market,Online,2021-01-14,429293.0,619777.0,0.6926571976694843,4.37,1,"(0.65, 0.7]","(4.0, 4.5]",1
82,8572,427,Aussie,Online,2024-04-05,115160.0,187719.0,0.6134701335506795,4.46,1,"(0.6, 0.65]","(4.0, 4.5]",4
83,8685,484,Loan Market,Online,2024-02-27,782566.0,1044505.0,0.7492218802207744,4.31,1,"(0.7, 0.75]","(4.0, 4.5]",2
84,7209,110,Lendi,Online,2019-07-05,302110.0,340818.0,0.8864261864103422,4.84,1,"(0.85, 0.9]","(4.5, 5.0]",7
85,5277,149,Lendi,Online,2023-03-26,103306.0,159350.0,0.6482962033260119,4.4,0,"(0.6, 0.65]","(4.0, 4.5]",3
86,2063,406,Smartline,Broker,2018-06-29,348123.0,450319.0,0.7730586539764034,5.3,1,"(0.75, 0.8]","(5.0, 5.5]",6
87,65,265,Mortgage Choice,Broker,2020-05-22,426342.0,624828.0,0.6823349785861069,4.88,1,"(0.65, 0.7]","(4.5, 5.0]",5
88,8007,162,Loan Market,Online,2018-10-10,110778.0,182925.0,0.6055924559245592,5.08,1,"(0.6, 0.65]","(5.0, 5.5]",10
89,2569,187,Mortgage Choice,Broker,2023-04-15,504669.0,563156.0,0.8961442300179702,4.74,1,"(0.85, 0.9]","(4.5, 5.0]",4
90,5464,410,Lendi,Online,2020-12-02,257649.0,316191.0,0.8148524151541315,5.02,1,"(0.8, 0.85]","(5.0, 5.5]",12
91,2028,129,Lendi,Online,2019-12-13,408369.0,497623.0,0.8206393193240666,4.92,1,"(0.8, 0.85]","(4.5, 5.0]",12
92,2696,484,Loan Market,Broker,2021-05-19,401263.0,502277.0,0.7988878646643187,5.19,1,"(0.75, 0.8]","(5.0, 5.5]",5
93,9688,108,Mortgage Choice,Broker,2023-06-20,380599.0,591799.0,0.6431220735418613,5.08,1,"(0.6, 0.65]","(5.0, 5.5]",6
94,5259,389,Mortgage Choice,Online,2017-02-06,259234.0,391587.0,0.6620086979394106,4.03,1,"(0.65, 0.7]","(4.0, 4.5]",2
95,5619,425,Lendi,Online,2018-12-25,336616.0,470331.0,0.7157002196325567,4.34,1,"(0.7, 0.75]","(4.0, 4.5]",12
96,6737,447,Smartline,Online,2021-03-28,475064.0,528648.0,0.8986395484329838,4.33,0,"(0.85, 0.9]","(4.0, 4.5]",3
97,392,406,Smartline,Broker,2019-09-07,523204.0,652560.0,0.8017714846144416,5.07,0,"(0.8, 0.85]","(5.0, 5.5]",9
98,5893,68,Mortgage Choice,Online,2017-03-25,379542.0,517995.0,0.7327136362320099,4.27,1,"(0.7, 0.75]","(4.0, 4.5]",3
99,3562,432,Mortgage Choice,Broker,2020-01-23,190214.0,255177.0,0.7454198458325005,4.33,0,"(0.7, 0.75]","(4.0, 4.5]",1
100,6185,66,Loan Market,Broker,2020-09-27,419997.0,479087.0,0.8766612327197356,5.13,1,"(0.85, 0.9]","(5.0, 5.5]",9
101,3100,144,Aussie,Broker,2018-12-20,392641.0,595876.0,0.6589307171290671,3.86,1,"(0.65, 0.7]","(3.5, 4.0]",12
102,6279,464,Loan Market,Broker,2018-07-04,322134.0,462662.0,0.6962620660438938,4.03,0,"(0.65, 0.7]","(4.0, 4.5]",7
103,8393,53,Smartline,Broker,2020-10-03,818625.0,1150947.0,0.7112621171956658,4.35,1,"(0.7, 0.75]","(4.0, 4.5]",10
104,3105,128,Mortgage Choice,Broker,2024-07-25,418603.0,481547.0,0.8692879407409868,4.92,1,"(0.85, 0.9]","(4.5, 5.0]",7
105,7216,470,Smartline,Broker,2018-08-10,235284.0,282442.0,0.8330347469568974,4.7,1,"(0.8, 0.85]","(4.5, 5.0]",8
106,2455,491,Aussie,Online,2022-02-08,258854.0,333045.0,0.7772343076761399,4.78,1,"(0.75, 0.8]","(4.5, 5.0]",2
107,8997,321,Loan Market,Broker,2017-06-01,282022.0,406127.0,0.6944182484789241,4.97,1,"(0.65, 0.7]","(4.5, 5.0]",6
108,2732,207,Lendi,Online,2019-11-28,116546.0,176409.0,0.6606579029414599,4.68,1,"(0.65, 0.7]","(4.5, 5.0]",11
109,8155,320,Aussie,Broker,2023-01-22,244378.0,349497.0,0.6992277473054133,4.29,1,"(0.65, 0.7]","(4.0, 4.5]",1
110,9763,216,Lendi,Online,2021-04-17,325381.0,370241.0,0.8788356773020816,4.69,1,"(0.85, 0.9]","(4.5, 5.0]",4
111,5057,68,Mortgage Choice,Online,2017-07-31,417940.0,478703.0,0.8730674342964218,5.13,1,"(0.85, 0.9]","(5.0, 5.5]",7
112,8111,447,Smartline,Online,2024-01-18,83627.0,115096.0,0.7265847640230764,4.51,0,"(0.7, 0.75]","(4.5, 5.0]",1
113,3841,62,Aussie,Broker,2019-01-12,164534.0,235837.0,0.6976598243702218,4.96,1,"(0.65, 0.7]","(4.5, 5.0]",1
114,1029,210,Lendi,Online,2022-12-20,310963.0,359338.0,0.8653774440777207,4.9,1,"(0.85, 0.9]","(4.5, 5.0]",12
115,7386,337,Mortgage Choice,Online,2017-04-06,268740.0,366196.0,0.7338692940392577,4.06,1,"(0.7, 0.75]","(4.0, 4.5]",4
116,503,327,Loan Market,Online,2021-03-07,98898.0,161701.0,0.6116103178087953,4.41,1,"(0.6, 0.65]","(4.0, 4.5]",3
117,6911,370,Lendi,Online,2018-06-06,294173.0,418024.0,0.703722752760607,4.51,0,"(0.7, 0.75]","(4.5, 5.0]",6
118,9063,429,Aussie,Broker,2023-08-19,313076.0,400257.0,0.7821874445668658,4.81,1,"(0.75, 0.8]","(4.5, 5.0]",8
119,6939,52,Mortgage Choice,Online,2019-11-06,548963.0,621437.0,0.8833767542003453,4.42,1,"(0.85, 0.9]","(4.0, 4.5]",11
120,4489,116,Mortgage Choice,Online,2021-08-30,360088.0,495049.0,0.727378501926072,4.06,1,"(0.7, 0.75]","(4.0, 4.5]",8
121,207,381,Lendi,Broker,2024-04-09,105402.0,156839.0,0.6720394799762814,5.1,1,"(0.65, 0.7]","(5.0, 5.5]",4
122,5135,458,Aussie,Broker,2017-01-18,170033.0,237692.0,0.7153501169580802,4.26,1,"(0.7, 0.75]","(4.0, 4.5]",1
123,5978,383,Loan Market,Broker,2021-09-16,167352.0,271183.0,0.617118329688808,4.21,1,"(0.6, 0.65]","(4.0, 4.5]",9
124,7722,65,Aussie,Broker,2019-09-05,293055.0,336980.0,0.8696510178645617,4.14,0,"(0.85, 0.9]","(4.0, 4.5]",9
125,7036,130,Loan Market,Online,2019-05-29,249151.0,408427.0,0.6100257818410634,4.37,1,"(0.6, 0.65]","(4.0, 4.5]",5
126,1485,177,Loan Market,Broker,2018-08-17,274503.0,457282.0,0.6002925984403498,3.63,1,"(0.6, 0.65]","(3.5, 4.0]",8
127,7859,278,Loan Market,Broker,2018-10-05,369230.0,470813.0,0.7842391777627211,4.69,1,"(0.75, 0.8]","(4.5, 5.0]",10
128,864,480,Loan Market,Broker,2022-12-17,126689.0,196053.0,0.646197711843226,4.5,1,"(0.6, 0.65]","(4.0, 4.5]",12
129,2791,413,Smartline,Broker,2019-03-12,102113.0,148243.0,0.6888217318861599,4.3,0,"(0.65, 0.7]","(4.0, 4.5]",3
130,7409,163,Loan Market,Online,2018-03-31,673108.0,900726.0,0.747294959843504,4.89,1,"(0.7, 0.75]","(4.5, 5.0]",3
131,8756,465,Smartline,Online,2021-05-29,503392.0,600968.0,0.8376352817454507,4.86,1,"(0.8, 0.85]","(4.5, 5.0]",5
132,5117,332,Mortgage Choice,Broker,2019-05-26,294988.0,411849.0,0.716252801390801,4.71,1,"(0.7, 0.75]","(4.5, 5.0]",5
133,6020,152,Lendi,Online,2024-03-03,199173.0,224513.0,0.8871334844752865,4.86,1,"(0.85, 0.9]","(4.5, 5.0]",3
134,1758,350,Loan Market,Broker,2020-01-01,189920.0,258058.0,0.7359585829542196,4.62,1,"(0.7, 0.75]","(4.5, 5.0]",1
135,7575,236,Mortgage Choice,Broker,2019-10-11,233748.0,266837.0,0.8759954579012655,5.77,0,"(0.85, 0.9]","(5.5, 6.5]",10
136,6375,158,Mortgage Choice,Online,2020-01-16,108092.0,146924.0,0.7357000898423675,4.54,1,"(0.7, 0.75]","(4.5, 5.0]",1
137,6893,468,Mortgage Choice,Online,2023-09-15,204965.0,271533.0,0.7548437943086107,4.26,1,"(0.75, 0.8]","(4.0, 4.5]",9
138,1679,426,Loan Market,Online,2018-04-07,418087.0,471125.0,0.887422658530114,4.85,1,"(0.85, 0.9]","(4.5, 5.0]",4
139,3243,327,Loan Market,Online,2022-11-07,273809.0,341207.0,0.8024718132980859,5.13,1,"(0.8, 0.85]","(5.0, 5.5]",11
140,4637,106,Lendi,Online,2024-11-10,421739.0,654050.0,0.644811558749331,4.02,1,"(0.6, 0.65]","(4.0, 4.5]",11
141,1060,306,Smartline,Online,2022-08-16,412141.0,528680.0,0.7795660891276387,3.86,1,"(0.75, 0.8]","(3.5, 4.0]",8
142,6669,255,Lendi,Online,2019-08-03,435529.0,652413.0,0.667566403489814,3.45,1,"(0.65, 0.7]","(3.0, 3.5]",8
143,9915,358,Loan Market,Online,2017-03-25,94512.0,136401.0,0.6928981459080212,4.54,1,"(0.65, 0.7]","(4.5, 5.0]",3
144,3158,455,Lendi,Online,2020-12-10,183399.0,215397.0,0.851446398974916,4.65,0,"(0.85, 0.9]","(4.5, 5.0]",12
145,5916,444,Aussie,Broker,2024-04-22,297663.0,369932.0,0.8046424748332126,5.17,1,"(0.8, 0.85]","(5.0, 5.5]",4
146,9790,113,Smartline,Broker,2020-02-10,325121.0,473893.0,0.6860641537224648,4.43,0,"(0.65, 0.7]","(4.0, 4.5]",2
147,2694,30,Lendi,Online,2023-01-29,192943.0,320819.0,0.6014076473026847,4.9,1,"(0.6, 0.65]","(4.5, 5.0]",1
148,3628,12,Smartline,Online,2018-11-30,91955.0,121096.0,0.7593562132522957,4.04,1,"(0.75, 0.8]","(4.0, 4.5]",11
149,9556,177,Loan Market,Broker,2021-12-26,213532.0,316320.0,0.6750505816894284,4.53,0,"(0.65, 0.7]","(4.5, 5.0]",12
150,5451,479,Smartline,Online,2023-05-10,258668.0,425096.0,0.6084931403729981,4.62,1,"(0.6, 0.65]","(4.5, 5.0]",5
151,1664,338,Mortgage Choice,Broker,2018-06-14,678123.0,1095541.0,0.6189845930001707,4.38,0,"(0.6, 0.65]","(4.0, 4.5]",6
152,9722,46,Loan Market,Online,2017-11-15,422334.0,526618.0,0.801974106468066,4.96,1,"(0.8, 0.85]","(4.5, 5.0]",11
153,5593,171,Loan Market,Online,2020-01-04,390191.0,538725.0,0.7242860457561836,4.71,1,"(0.7, 0.75]","(4.5, 5.0]",1
154,7393,130,Loan Market,Broker,2023-10-13,173956.0,256291.0,0.6787440838734096,3.97,1,"(0.65, 0.7]","(3.5, 4.0]",10
155,1307,245,Lendi,Broker,2024-12-04,451313.0,522407.0,0.8639107056375585,4.45,1,"(0.85, 0.9]","(4.0, 4.5]",12
156,6777,353,Loan Market,Broker,2017-09-06,468100.0,552313.0,0.8475266741865572,4.9,1,"(0.8, 0.85]","(4.5, 5.0]",9
157,5865,203,Lendi,Online,2018-01-22,320439.0,433110.0,0.7398559257463462,5.43,1,"(0.7, 0.75]","(5.0, 5.5]",1
158,9475,226,Lendi,Broker,2022-05-12,82585.0,120973.0,0.6826729931472312,4.23,0,"(0.65, 0.7]","(4.0, 4.5]",5
159,7527,80,Lendi,Broker,2022-03-06,256383.0,340866.0,0.7521518719966204,4.87,0,"(0.75, 0.8]","(4.5, 5.0]",3
160,8902,310,Aussie,Broker,2017-12-29,298643.0,361607.0,0.8258772645441045,4.8,1,"(0.8, 0.85]","(4.5, 5.0]",12
161,5576,35,Smartline,Broker,2022-10-17,275267.0,456327.0,0.6032231272749585,4.52,1,"(0.6, 0.65]","(4.5, 5.0]",10
162,5531,52,Mortgage Choice,Broker,2023-10-22,663406.0,846429.0,0.7837704048419891,4.76,0,"(0.75, 0.8]","(4.5, 5.0]",10
163,4414,161,Aussie,Broker,2021-04-05,509671.0,626872.0,0.8130383874219936,4.48,1,"(0.8, 0.85]","(4.0, 4.5]",4
164,3749,469,Lendi,Online,2021-12-12,255179.0,301973.0,0.8450391260145774,5.1,0,"(0.8, 0.85]","(5.0, 5.5]",12
165,664,84,Lendi,Broker,2017-10-23,222598.0,334741.0,0.6649857651139239,4.56,1,"(0.65, 0.7]","(4.5, 5.0]",10
166,1999,328,Loan Market,Broker,2024-05-18,226102.0,342045.0,0.6610299814351913,5.09,0,"(0.65, 0.7]","(5.0, 5.5]",5
167,7995,435,Lendi,Broker,2022-06-15,149926.0,225548.0,0.664718818167308,4.67,1,"(0.65, 0.7]","(4.5, 5.0]",6
168,1496,26,Mortgage Choice,Broker,2022-09-12,280991.0,319515.0,0.8794297607311081,4.41,1,"(0.85, 0.9]","(4.0, 4.5]",9
169,3305,225,Aussie,Online,2020-10-29,388595.0,605012.0,0.6422930454271981,4.69,0,"(0.6, 0.65]","(4.5, 5.0]",10
170,3764,446,Smartline,Broker,2017-02-01,537432.0,647982.0,0.8293934090761781,5.14,1,"(0.8, 0.85]","(5.0, 5.5]",2
171,5233,317,Aussie,Online,2018-07-09,272390.0,303998.0,0.8960256317475773,5.13,0,"(0.85, 0.9]","(5.0, 5.5]",7
172,1854,154,Aussie,Broker,2017-11-01,496878.0,562152.0,0.8838854971609102,5.49,1,"(0.85, 0.9]","(5.0, 5.5]",11
173,6586,293,Mortgage Choice,Online,2019-03-04,236003.0,326437.0,0.7229664529449786,3.84,1,"(0.7, 0.75]","(3.5, 4.0]",3
174,1292,414,Loan Market,Broker,2020-02-06,305411.0,358546.0,0.8518042315351447,5.47,1,"(0.85, 0.9]","(5.0, 5.5]",2
175,3582,95,Mortgage Choice,Broker,2017-04-06,626550.0,782168.0,0.801042742735576,4.87,1,"(0.8, 0.85]","(4.5, 5.0]",4
176,7555,225,Aussie,Broker,2019-12-26,232023.0,269625.0,0.8605396383866482,5.29,1,"(0.85, 0.9]","(5.0, 5.5]",12
177,7281,267,Loan Market,Broker,2024-01-13,507148.0,782215.0,0.6483485998095153,4.1,1,"(0.6, 0.65]","(4.0, 4.5]",1
178,1637,437,Lendi,Broker,2017-08-18,327679.0,395041.0,0.8294809905807246,4.11,0,"(0.8, 0.85]","(4.0, 4.5]",8
179,3697,41,Lendi,Online,2024-08-12,593484.0,764832.0,0.7759664867578763,4.65,1,"(0.75, 0.8]","(4.5, 5.0]",8
180,699,133,Lendi,Broker,2017-12-24,284261.0,373030.0,0.7620325442993862,4.73,1,"(0.75, 0.8]","(4.5, 5.0]",12
181,4738,66,Loan Market,Broker,2018-02-06,345921.0,422540.0,0.8186704217352203,4.27,1,"(0.8, 0.85]","(4.0, 4.5]",2
182,855,397,Mortgage Choice,Broker,2019-03-01,117190.0,171854.0,0.6819160450149545,4.74,0,"(0.65, 0.7]","(4.5, 5.0]",3
183,8165,447,Smartline,Broker,2017-04-09,124947.0,200758.0,0.6223761942238915,4.51,1,"(0.6, 0.65]","(4.5, 5.0]",4
184,5856,210,Lendi,Broker,2017-09-28,267555.0,356437.0,0.7506375600737297,5.26,1,"(0.75, 0.8]","(5.0, 5.5]",9
185,7393,474,Smartline,Online,2021-12-04,221104.0,320143.0,0.6906413696379431,4.54,0,"(0.65, 0.7]","(4.5, 5.0]",12
186,6529,153,Lendi,Broker,2017-12-28,238928.0,352962.0,0.6769227282257013,5.01,0,"(0.65, 0.7]","(5.0, 5.5]",12
187,5250,172,Lendi,Online,2020-04-02,220405.0,245015.0,0.8995571699691856,4.99,0,"(0.85, 0.9]","(4.5, 5.0]",4
188,5173,398,Aussie,Online,2024-01-20,305093.0,462712.0,0.6593583049499473,4.52,0,"(0.65, 0.7]","(4.5, 5.0]",1
189,1708,325,Smartline,Broker,2018-06-24,328671.0,490062.0,0.67067228228265,4.76,1,"(0.65, 0.7]","(4.5, 5.0]",6
