date,segment,loan_purpose,loan_count,loan_value_million
2014-06-01,Investor,Total dwellings excluding refinancing,,22663.2
2014-09-01,Investor,External refinancing,,10681.3
2014-09-01,Investor,Total dwellings excluding refinancing,,24259.9
2014-12-01,Investor,External refinancing,,12078.7
2014-12-01,Investor,Total dwellings excluding refinancing,,25406.3
2015-03-01,Investor,External refinancing,,12640.7
2015-03-01,Investor,Total dwellings excluding refinancing,,25946.6
2015-06-01,Investor,External refinancing,,12124.9
2015-06-01,Investor,Total dwellings excluding refinancing,,26110.9
2015-09-01,Investor,External refinancing,,9875.9
2015-09-01,Investor,Total dwellings excluding refinancing,,23228.9
2015-12-01,Investor,External refinancing,,9522.3
2015-12-01,Investor,Total dwellings excluding refinancing,,18947.5
2016-03-01,Investor,External refinancing,,9921.0
2016-03-01,Investor,Total dwellings excluding refinancing,,18574.7
2016-06-01,Investor,External refinancing,,10337.7
2016-06-01,Investor,Total dwellings excluding refinancing,,20282.7
2016-09-01,Investor,External refinancing,,10751.8
2016-09-01,Investor,Total dwellings excluding refinancing,,22024.1
2016-12-01,Investor,External refinancing,,9920.6
2016-12-01,Investor,Total dwellings excluding refinancing,,24404.6
2017-03-01,Investor,External refinancing,,10146.9
2017-03-01,Investor,Total dwellings excluding refinancing,,25164.7
2017-06-01,Investor,External refinancing,,10185.2
2017-06-01,Investor,Total dwellings excluding refinancing,,22888.3
2017-09-01,Investor,External refinancing,,10482.9
2017-09-01,Investor,Total dwellings excluding refinancing,,21852.9
2017-12-01,Investor,External refinancing,,10009.5
2017-12-01,Investor,Total dwellings excluding refinancing,,20422.9
2018-03-01,Investor,External refinancing,,11684.0
2018-03-01,Investor,Total dwellings excluding refinancing,,19026.4
2018-06-01,Investor,External refinancing,,10644.5
2018-06-01,Investor,Total dwellings excluding refinancing,,17790.2
2018-09-01,Investor,External refinancing,,10069.5
2018-09-01,Investor,Total dwellings excluding refinancing,,16942.1
2018-12-01,Investor,External refinancing,,10186.6
2018-12-01,Investor,Total dwellings excluding refinancing,,15271.7
2019-03-01,Investor,External refinancing,,9527.1
2019-03-01,Investor,Total dwellings excluding refinancing,,13642.8
2019-06-01,Investor,External refinancing,,9608.4
2019-06-01,Investor,Total dwellings excluding refinancing,,12924.5
2019-09-01,Investor,"Alterations, additions and repairs",2310.0,352.9
2019-09-01,Investor,Construction of dwellings,3382.0,1488.2
2019-09-01,Investor,External refinancing,21679.0,10486.3
2019-09-01,Investor,Internal refinancing,11060.0,4333.8
2019-09-01,Investor,Purchase of existing dwellings,24856.0,11594.1
2019-09-01,Investor,Purchase of newly erected dwellings,3285.0,1647.3
2019-09-01,Investor,Purchase of residential land,2469.0,628.6
2019-09-01,Investor,Total dwellings excluding refinancing,31159.0,14496.8
2019-12-01,Investor,"Alterations, additions and repairs",2346.0,335.7
2019-12-01,Investor,Construction of dwellings,3391.0,1538.8
2019-12-01,Investor,External refinancing,23753.0,11447.2
2019-12-01,Investor,Internal refinancing,12650.0,4802.9
2019-12-01,Investor,Purchase of existing dwellings,24701.0,12068.9
2019-12-01,Investor,Purchase of newly erected dwellings,3089.0,1657.8
2019-12-01,Investor,Purchase of residential land,2294.0,671.3
2019-12-01,Investor,Total dwellings excluding refinancing,31471.0,15151.5
2020-03-01,Investor,"Alterations, additions and repairs",2159.0,338.4
2020-03-01,Investor,Construction of dwellings,3610.0,1689.5
2020-03-01,Investor,External refinancing,24083.0,11765.9
2020-03-01,Investor,Internal refinancing,10508.0,4179.5
2020-03-01,Investor,Purchase of existing dwellings,23728.0,11603.2
2020-03-01,Investor,Purchase of newly erected dwellings,2426.0,1227.9
2020-03-01,Investor,Purchase of residential land,2366.0,712.2
2020-03-01,Investor,Total dwellings excluding refinancing,29580.0,14763.8
2020-06-01,Investor,"Alterations, additions and repairs",1760.0,309.8
2020-06-01,Investor,Construction of dwellings,2954.0,1353.1
2020-06-01,Investor,External refinancing,27139.0,13562.1
2020-06-01,Investor,Internal refinancing,10687.0,4370.2
2020-06-01,Investor,Purchase of existing dwellings,18557.0,9488.9
2020-06-01,Investor,Purchase of newly erected dwellings,2489.0,1268.0
2020-06-01,Investor,Purchase of residential land,1862.0,514.7
2020-06-01,Investor,Total dwellings excluding refinancing,24145.0,12177.3
2020-09-01,Investor,"Alterations, additions and repairs",1622.0,238.2
2020-09-01,Investor,Construction of dwellings,3101.0,1435.7
2020-09-01,Investor,External refinancing,26091.0,12775.9
2020-09-01,Investor,Internal refinancing,10016.0,4099.1
2020-09-01,Investor,Purchase of existing dwellings,24217.0,11908.4
2020-09-01,Investor,Purchase of newly erected dwellings,2220.0,1122.3
2020-09-01,Investor,Purchase of residential land,2443.0,682.5
2020-09-01,Investor,Total dwellings excluding refinancing,29218.0,14279.0
2020-12-01,Investor,"Alterations, additions and repairs",1791.0,289.2
2020-12-01,Investor,Construction of dwellings,3509.0,1625.0
2020-12-01,Investor,External refinancing,26226.0,12833.5
2020-12-01,Investor,Internal refinancing,10222.0,4262.6
2020-12-01,Investor,Purchase of existing dwellings,25858.0,13334.8
2020-12-01,Investor,Purchase of newly erected dwellings,2258.0,1211.7
2020-12-01,Investor,Purchase of residential land,2612.0,794.7
2020-12-01,Investor,Total dwellings excluding refinancing,31915.0,16063.5
2021-03-01,Investor,"Alterations, additions and repairs",2043.0,313.6
2021-03-01,Investor,Construction of dwellings,3887.0,1884.2
2021-03-01,Investor,External refinancing,28304.0,14026.2
2021-03-01,Investor,Internal refinancing,10869.0,4482.1
2021-03-01,Investor,Purchase of existing dwellings,31577.0,16525.0
2021-03-01,Investor,Purchase of newly erected dwellings,2630.0,1413.4
2021-03-01,Investor,Purchase of residential land,2847.0,884.7
2021-03-01,Investor,Total dwellings excluding refinancing,37792.0,20108.1
2021-06-01,Investor,"Alterations, additions and repairs",2691.0,428.1
2021-06-01,Investor,Construction of dwellings,4309.0,2104.5
2021-06-01,Investor,External refinancing,29093.0,14835.8
2021-06-01,Investor,Internal refinancing,10722.0,4574.3
2021-06-01,Investor,Purchase of existing dwellings,36164.0,20241.7
2021-06-01,Investor,Purchase of newly erected dwellings,2515.0,1425.3
2021-06-01,Investor,Purchase of residential land,2848.0,869.1
2021-06-01,Investor,Total dwellings excluding refinancing,43335.0,23852.3
2021-09-01,Investor,"Alterations, additions and repairs",3142.0,569.5
2021-09-01,Investor,Construction of dwellings,4706.0,2377.5
2021-09-01,Investor,External refinancing,35559.0,18204.6
2021-09-01,Investor,Internal refinancing,11538.0,5285.4
2021-09-01,Investor,Purchase of existing dwellings,42604.0,24031.0
2021-09-01,Investor,Purchase of newly erected dwellings,2753.0,1489.7
2021-09-01,Investor,Purchase of residential land,3477.0,1119.6
2021-09-01,Investor,Total dwellings excluding refinancing,49553.0,27657.5
2021-12-01,Investor,"Alterations, additions and repairs",3304.0,601.4
2021-12-01,Investor,Construction of dwellings,5041.0,2545.1
2021-12-01,Investor,External refinancing,32177.0,16891.7
2021-12-01,Investor,Internal refinancing,10615.0,5104.9
2021-12-01,Investor,Purchase of existing dwellings,44564.0,26709.0
2021-12-01,Investor,Purchase of newly erected dwellings,2395.0,1411.3
2021-12-01,Investor,Purchase of residential land,3669.0,1206.1
2021-12-01,Investor,Total dwellings excluding refinancing,52474.0,30501.3
2022-03-01,Investor,"Alterations, additions and repairs",3452.0,598.7
2022-03-01,Investor,Construction of dwellings,5459.0,2884.3
2022-03-01,Investor,External refinancing,30691.0,16264.9
2022-03-01,Investor,Internal refinancing,9918.0,4812.6
2022-03-01,Investor,Purchase of existing dwellings,45479.0,28095.7
2022-03-01,Investor,Purchase of newly erected dwellings,2403.0,1409.5
2022-03-01,Investor,Purchase of residential land,3769.0,1299.1
2022-03-01,Investor,Total dwellings excluding refinancing,52787.0,32750.4
2022-06-01,Investor,"Alterations, additions and repairs",3565.0,576.9
2022-06-01,Investor,Construction of dwellings,5790.0,2988.2
2022-06-01,Investor,External refinancing,30895.0,16523.1
2022-06-01,Investor,Internal refinancing,9524.0,4621.3
2022-06-01,Investor,Purchase of existing dwellings,40475.0,25088.8
2022-06-01,Investor,Purchase of newly erected dwellings,2376.0,1365.2
2022-06-01,Investor,Purchase of residential land,3538.0,1185.8
2022-06-01,Investor,Total dwellings excluding refinancing,49072.0,29463.5
2022-09-01,Investor,"Alterations, additions and repairs",3444.0,581.1
2022-09-01,Investor,Construction of dwellings,5913.0,3098.4
2022-09-01,Investor,External refinancing,32447.0,17325.8
2022-09-01,Investor,Internal refinancing,8760.0,4334.1
2022-09-01,Investor,Purchase of existing dwellings,35607.0,21223.4
2022-09-01,Investor,Purchase of newly erected dwellings,2166.0,1194.4
2022-09-01,Investor,Purchase of residential land,3114.0,1105.5
2022-09-01,Investor,Total dwellings excluding refinancing,43379.0,25439.6
2022-12-01,Investor,"Alterations, additions and repairs",3074.0,541.4
2022-12-01,Investor,Construction of dwellings,5642.0,3114.7
2022-12-01,Investor,External refinancing,33105.0,17958.3
2022-12-01,Investor,Internal refinancing,8222.0,4131.7
2022-12-01,Investor,Purchase of existing dwellings,31208.0,18861.8
2022-12-01,Investor,Purchase of newly erected dwellings,2191.0,1263.4
2022-12-01,Investor,Purchase of residential land,2996.0,1092.7
2022-12-01,Investor,Total dwellings excluding refinancing,39378.0,23130.8
2023-03-01,Investor,"Alterations, additions and repairs",2846.0,515.7
2023-03-01,Investor,Construction of dwellings,5262.0,3054.1
2023-03-01,Investor,External refinancing,36591.0,19822.9
2023-03-01,Investor,Internal refinancing,8233.0,4371.6
2023-03-01,Investor,Purchase of existing dwellings,29698.0,17923.1
2023-03-01,Investor,Purchase of newly erected dwellings,2079.0,1222.8
2023-03-01,Investor,Purchase of residential land,2905.0,1069.3
2023-03-01,Investor,Total dwellings excluding refinancing,36560.0,22381.2
2023-06-01,Investor,"Alterations, additions and repairs",2603.0,425.7
2023-06-01,Investor,Construction of dwellings,5502.0,3156.5
2023-06-01,Investor,External refinancing,35936.0,19792.5
2023-06-01,Investor,Internal refinancing,8225.0,4506.7
2023-06-01,Investor,Purchase of existing dwellings,31063.0,18638.5
2023-06-01,Investor,Purchase of newly erected dwellings,2113.0,1295.2
2023-06-01,Investor,Purchase of residential land,3577.0,1283.6
2023-06-01,Investor,Total dwellings excluding refinancing,39006.0,23029.6
2023-09-01,Investor,"Alterations, additions and repairs",2623.0,443.3
2023-09-01,Investor,Construction of dwellings,5689.0,3254.3
2023-09-01,Investor,External refinancing,35670.0,19612.1
2023-09-01,Investor,Internal refinancing,8422.0,4670.3
2023-09-01,Investor,Purchase of existing dwellings,32525.0,19931.7
2023-09-01,Investor,Purchase of newly erected dwellings,2100.0,1280.0
2023-09-01,Investor,Purchase of residential land,3368.0,1265.6
2023-09-01,Investor,Total dwellings excluding refinancing,40130.0,24473.5
2023-12-01,Investor,"Alterations, additions and repairs",2924.0,451.2
2023-12-01,Investor,Construction of dwellings,6835.0,3909.6
2023-12-01,Investor,External refinancing,29710.0,17330.3
2023-12-01,Investor,Internal refinancing,9359.0,5248.7
2023-12-01,Investor,Purchase of existing dwellings,33980.0,21430.3
2023-12-01,Investor,Purchase of newly erected dwellings,2106.0,1333.6
2023-12-01,Investor,Purchase of residential land,3738.0,1444.4
2023-12-01,Investor,Total dwellings excluding refinancing,43224.0,26563.4
2024-03-01,Investor,"Alterations, additions and repairs",2671.0,456.9
2024-03-01,Investor,Construction of dwellings,6673.0,4040.4
2024-03-01,Investor,External refinancing,28852.0,17344.7
2024-03-01,Investor,Internal refinancing,10306.0,5999.1
2024-03-01,Investor,Purchase of existing dwellings,35567.0,22511.0
2024-03-01,Investor,Purchase of newly erected dwellings,2148.0,1487.7
2024-03-01,Investor,Purchase of residential land,3387.0,1250.9
2024-03-01,Investor,Total dwellings excluding refinancing,43771.0,28259.5
2024-06-01,Investor,"Alterations, additions and repairs",3012.0,499.8
2024-06-01,Investor,Construction of dwellings,7581.0,4418.8
2024-06-01,Investor,External refinancing,29738.0,18389.5
2024-06-01,Investor,Internal refinancing,11322.0,6762.2
2024-06-01,Investor,Purchase of existing dwellings,39527.0,25551.3
2024-06-01,Investor,Purchase of newly erected dwellings,2522.0,1636.5
2024-06-01,Investor,Purchase of residential land,3612.0,1341.8
2024-06-01,Investor,Total dwellings excluding refinancing,50054.0,31455.7
2024-09-01,Investor,"Alterations, additions and repairs",2931.0,507.5
2024-09-01,Investor,Construction of dwellings,7325.0,4496.5
2024-09-01,Investor,External refinancing,31629.0,19464.9
2024-09-01,Investor,Internal refinancing,11727.0,7126.3
2024-09-01,Investor,Purchase of existing dwellings,41733.0,27235.0
2024-09-01,Investor,Purchase of newly erected dwellings,2391.0,1716.1
2024-09-01,Investor,Purchase of residential land,3560.0,1380.1
2024-09-01,Investor,Total dwellings excluding refinancing,51322.0,33516.1
2024-12-01,Investor,"Alterations, additions and repairs",2915.0,562.7
2024-12-01,Investor,Construction of dwellings,7053.0,4590.8
2024-12-01,Investor,External refinancing,33348.0,21465.3
2024-12-01,Investor,Internal refinancing,12418.0,7680.6
2024-12-01,Investor,Purchase of existing dwellings,39480.0,26466.0
2024-12-01,Investor,Purchase of newly erected dwellings,2168.0,1553.0
2024-12-01,Investor,Purchase of residential land,3415.0,1416.2
2024-12-01,Investor,Total dwellings excluding refinancing,48991.0,32478.3
2025-03-01,Investor,"Alterations, additions and repairs",2796.0,637.1
2025-03-01,Investor,Construction of dwellings,6879.0,4636.4
2025-03-01,Investor,External refinancing,33395.0,21354.4
2025-03-01,Investor,Internal refinancing,12519.0,7736.8
2025-03-01,Investor,Purchase of existing dwellings,39736.0,26647.4
2025-03-01,Investor,Purchase of newly erected dwellings,1986.0,1374.7
2025-03-01,Investor,Purchase of residential land,3489.0,1390.6
2025-03-01,Investor,Total dwellings excluding refinancing,47899.0,32947.8
2025-06-01,Investor,"Alterations, additions and repairs",3247.0,679.1
2025-06-01,Investor,Construction of dwellings,7080.0,4678.1
2025-06-01,Investor,External refinancing,34397.0,22361.2
2025-06-01,Investor,Internal refinancing,13335.0,8331.7
2025-06-01,Investor,Purchase of existing dwellings,41268.0,28038.9
2025-06-01,Investor,Purchase of newly erected dwellings,1936.0,1329.9
2025-06-01,Investor,Purchase of residential land,3597.0,1415.1
2025-06-01,Investor,Total dwellings excluding refinancing,50718.0,33816.0
2025-09-01,Investor,"Alterations, additions and repairs",17027.39375,725.4
2025-09-01,Investor,Construction of dwellings,17027.39375,5031.4
2025-09-01,Investor,External refinancing,17027.39375,24528.9
2025-09-01,Investor,Internal refinancing,17027.39375,9497.6
2025-09-01,Investor,Purchase of existing dwellings,17027.39375,32927.4
2025-09-01,Investor,Purchase of newly erected dwellings,17027.39375,1691.2
2025-09-01,Investor,Purchase of residential land,17027.39375,1568.9
2025-09-01,Investor,Total dwellings excluding refinancing,17027.39375,30438.787500000002
