broker_id,brand,experience_years,store_location,conversion_rate,active_loans
56,Smartline,8,VIC,0.2311398094481865,104
57,Lendi,2,VIC,0.1512529130779221,22
58,Lendi,8,SA,0.2623506487164889,120
59,Lendi,7,NSW,0.2128155133188322,56
60,Aussie,2,NSW,0.1971861888876805,16
61,Aussie,3,QLD,0.2102857532794303,18
62,Aussie,18,NSW,0.3092818656623358,216
63,Mortgage Choice,12,WA,0.3228241070778023,120
64,Aussie,1,VIC,0.100828740997434,9
65,Aussie,12,WA,0.3250053184408879,180
66,Loan Market,5,QLD,0.2709925017280584,45
67,Lendi,17,VIC,0.3746192053394196,153
68,Mortgage Choice,16,SA,0.2565056774355114,176
69,Lendi,15,VIC,0.3572248001785106,195
70,Smartline,15,SA,0.3986145138077604,195
71,Mortgage Choice,5,NSW,0.189393892565069,50
72,Lendi,14,VIC,0.3067853837989539,154
73,Lendi,2,NSW,0.1224029647325748,18
74,Mortgage Choice,11,VIC,0.2829227796586884,154
75,Mortgage Choice,19,NSW,0.4124212013890095,247
76,Mortgage Choice,7,WA,0.2484207994852309,105
77,Mortgage Choice,6,WA,0.321968844205073,90
78,Lendi,2,SA,0.1651559465038029,12
79,Aussie,6,NSW,0.1549264321404657,42
80,Lendi,18,VIC,0.3619839840048876,252
81,Mortgage Choice,2,VIC,0.1,26
82,Loan Market,18,NSW,0.337341362629742,144
83,Aussie,15,VIC,0.3768533720510074,195
84,Lendi,19,VIC,0.379379677702112,114
85,Aussie,2,QLD,0.1702795884490944,30
86,Aussie,20,VIC,0.4437273131850375,180
87,Mortgage Choice,6,VIC,0.202529003791782,48
88,Loan Market,1,NSW,0.1961637144526938,11
89,Smartline,15,NSW,0.3245257441308219,180
90,Aussie,10,NSW,0.2733016612210659,90
91,Lendi,19,SA,0.3253943300447945,228
92,Mortgage Choice,17,NSW,0.3271283621810124,238
93,Mortgage Choice,5,NSW,0.1510868618504644,35
94,Loan Market,4,NSW,0.1846664222621129,32
95,Mortgage Choice,10,QLD,0.2736640820370694,100
96,Aussie,17,SA,0.3051486663217992,136
97,Loan Market,10,QLD,0.3317212622939688,130
98,Aussie,17,QLD,0.3537337106682187,255
99,Lendi,20,VIC,0.3820228454954826,260
100,Lendi,5,NSW,0.2269380212970969,65
101,Lendi,2,SA,0.1349875171696927,28
102,Loan Market,6,QLD,0.2177217117708609,54
103,Aussie,2,QLD,0.1389096822874843,20
104,Loan Market,13,QLD,0.3505537968531144,130
105,Smartline,11,QLD,0.2349476227711021,143
106,Lendi,11,QLD,0.2742107910757511,132
107,Aussie,16,SA,0.3435260524803121,224
108,Mortgage Choice,11,WA,0.2858189010542695,143
109,Lendi,19,QLD,0.3476567689421008,133
110,Lendi,15,QLD,0.2886571709249216,225
111,Aussie,16,NSW,0.3121621689433865,144
112,Lendi,11,QLD,0.2904913901973599,121
113,Smartline,16,NSW,0.3269653980180813,112
114,Mortgage Choice,8,VIC,0.2638673082958382,96
115,Loan Market,4,SA,0.2046951301788275,32
116,Mortgage Choice,8,VIC,0.1563080555665137,64
117,Mortgage Choice,4,VIC,0.1966624228893023,28
118,Lendi,3,NSW,0.2547659168735695,39
119,Smartline,3,NSW,0.2223844167863416,33
120,Loan Market,18,QLD,0.3707704606247439,108
121,Mortgage Choice,19,NSW,0.3309212754335519,114
122,Smartline,19,NSW,0.3847143800643976,228
123,Aussie,5,VIC,0.225891247895739,65
124,Lendi,18,QLD,0.3471188661710345,180
125,Lendi,10,QLD,0.2710859720581553,100
126,Aussie,6,NSW,0.2648381860438614,54
127,Mortgage Choice,1,VIC,0.1219953953090396,11
128,Mortgage Choice,5,VIC,0.1629595138264305,55
129,Lendi,9,QLD,0.2722444764097974,72
130,Loan Market,12,QLD,0.3000139922669328,168
131,Aussie,14,VIC,0.3440093403394484,168
132,Lendi,2,VIC,0.1839427834166319,12
133,Lendi,17,VIC,0.3241285727889032,204
134,Aussie,14,WA,0.3231267428012892,140
135,Smartline,13,VIC,0.2560255709846339,130
136,Aussie,9,VIC,0.2392388450893452,63
137,Loan Market,15,VIC,0.3375979730838241,135
138,Mortgage Choice,15,VIC,0.3073820024146638,165
139,Aussie,11,QLD,0.3583818263780439,165
140,Smartline,16,VIC,0.2657735512911716,192
141,Smartline,17,QLD,0.3248378375050416,170
142,Aussie,4,QLD,0.1551777058145531,56
143,Aussie,1,VIC,0.1274877917389716,8
144,Aussie,8,VIC,0.2134950621781692,48
145,Aussie,17,WA,0.2975752759599352,153
146,Lendi,3,VIC,0.2023445752000419,42
147,Loan Market,20,VIC,0.3608516645914514,180
148,Loan Market,15,SA,0.3257250667456029,105
149,Lendi,15,NSW,0.3047810983331414,225
150,Aussie,14,NSW,0.2838191855699827,140
151,Smartline,14,VIC,0.3665297732630398,112
152,Lendi,2,SA,0.1963026263773293,28
153,Lendi,13,NSW,0.2306129860015699,117
154,Aussie,14,NSW,0.238905189308244,154
155,Smartline,19,NSW,0.404491309247277,133
156,Lendi,7,NSW,0.2058051312957936,77
157,Loan Market,3,NSW,0.1182821183123022,24
158,Mortgage Choice,15,VIC,0.3566007296389119,210
159,Lendi,14,VIC,0.3139193417534682,98
160,Mortgage Choice,11,NSW,0.2808049879691312,154
161,Aussie,15,VIC,0.3483338745202067,150
162,Loan Market,13,NSW,0.2501507994601162,169
163,Loan Market,18,NSW,0.2988974712515542,126
164,Loan Market,6,VIC,0.2673334003216121,66
165,Lendi,3,QLD,0.1256991633740197,24
166,Mortgage Choice,19,NSW,0.3252216771023553,285
167,Aussie,15,VIC,0.2842147617158982,150
168,Lendi,5,NSW,0.2727981073291683,65
169,Lendi,10,WA,0.2772684155144033,150
170,Loan Market,7,QLD,0.2577892791052383,42
171,Loan Market,17,VIC,0.3508658640952555,170
172,Lendi,7,NSW,0.2029339476079568,56
173,Loan Market,12,WA,0.3060951949141059,108
174,Lendi,17,NSW,0.2895184410221119,119
175,Loan Market,13,NSW,0.2576650791766227,182
176,Lendi,20,VIC,0.4056541312741518,160
177,Loan Market,4,NSW,0.1404960669210627,28
178,Aussie,10,SA,0.2533821485793344,150
179,Smartline,3,QLD,0.1709770679475606,42
180,Lendi,9,NSW,0.2294968298831993,108
181,Aussie,13,VIC,0.22771085338029,143
182,Lendi,18,SA,0.3339874888083957,108
183,Smartline,15,WA,0.291126106807363,150
184,Mortgage Choice,4,VIC,0.1936503952150694,32
185,Aussie,15,WA,0.3238671688544814,90
186,Loan Market,2,SA,0.1772286510977906,18
187,Mortgage Choice,15,QLD,0.2963404804458961,105
188,Loan Market,8,NSW,0.2542972282663062,56
189,Loan Market,8,VIC,0.1815397643529211,64
190,Lendi,17,WA,0.2802333343571676,221
191,Lendi,12,NSW,0.202254954654168,156
192,Smartline,19,WA,0.3505245966149801,228
193,Smartline,10,NSW,0.2336345621481504,110
194,Loan Market,9,NSW,0.275626046414911,126
195,Aussie,5,VIC,0.1772968094532895,45
196,Aussie,6,NSW,0.2215681721780493,36
197,Mortgage Choice,20,SA,0.4084653801804077,260
198,Smartline,2,QLD,0.1399788323522809,24
199,Smartline,13,QLD,0.3064318273537512,156
200,Mortgage Choice,6,VIC,0.2470674642134318,48
201,Loan Market,5,NSW,0.1566643028818051,45
202,Lendi,1,VIC,0.1528698318385625,15
203,Lendi,6,VIC,0.188128796588024,84
204,Smartline,6,VIC,0.1708928541127402,66
205,Loan Market,16,NSW,0.278224189082842,160
206,Lendi,4,VIC,0.1463272999737454,32
207,Lendi,11,VIC,0.2741010152013204,154
208,Loan Market,9,SA,0.1916204440553388,90
209,Lendi,3,WA,0.1567245541568977,30
210,Lendi,19,VIC,0.3964618042398514,171
211,Loan Market,8,VIC,0.2517153837196628,72
212,Loan Market,5,QLD,0.1814322331971645,30
213,Loan Market,4,NSW,0.2471391644675553,48
214,Lendi,6,WA,0.2782562744869081,84
215,Mortgage Choice,2,WA,0.1649142851038904,16
216,Lendi,20,VIC,0.2936009979440492,140
217,Aussie,11,VIC,0.3030256868955691,88
218,Mortgage Choice,4,NSW,0.1077108280988245,24
219,Loan Market,15,VIC,0.3716651138752023,165
220,Mortgage Choice,6,NSW,0.2499254715259805,72
221,Loan Market,17,WA,0.4060974376448307,119
222,Loan Market,6,NSW,0.2211092945428704,78
223,Lendi,19,NSW,0.3553514981486356,209
224,Aussie,2,SA,0.1482464603208421,18
225,Aussie,15,QLD,0.3008808940139186,150
226,Lendi,11,NSW,0.3063374028786146,143
227,Smartline,8,NSW,0.2609295021327057,64
228,Aussie,19,NSW,0.3722078971701974,152
229,Smartline,13,QLD,0.270723654222556,117
230,Loan Market,12,NSW,0.3760224420955096,72
231,Mortgage Choice,5,VIC,0.2319331114887004,70
232,Loan Market,6,SA,0.1560800828079307,78
233,Loan Market,4,NSW,0.1699310394422005,52
234,Aussie,19,WA,0.4006121634093047,285
235,Lendi,20,SA,0.3520161377568561,220
236,Mortgage Choice,1,NSW,0.1643041785589061,12
237,Aussie,20,WA,0.4132778705117652,220
238,Lendi,17,VIC,0.2254050171070262,238
239,Loan Market,12,WA,0.2802186805073762,96
240,Lendi,15,VIC,0.3175923203747792,120
241,Smartline,1,QLD,0.1375774640510673,8
242,Smartline,14,VIC,0.3185593297231114,210
243,Smartline,6,WA,0.2350131862623556,48
244,Aussie,5,QLD,0.2049717830513613,70
245,Lendi,11,VIC,0.2589160412082699,99
246,Smartline,4,WA,0.2101417454924494,48
247,Aussie,13,NSW,0.2977168693246025,182
248,Smartline,11,NSW,0.2639254855381582,132
249,Smartline,3,NSW,0.1300702215131378,42
250,Mortgage Choice,1,NSW,0.1,8
251,Aussie,6,NSW,0.1654069572550075,54
252,Aussie,18,SA,0.3657415171427075,234
253,Mortgage Choice,10,NSW,0.2572322438337777,110
254,Aussie,5,QLD,0.1481900565627388,50
255,Lendi,10,NSW,0.2826071239027834,90
256,Loan Market,12,WA,0.3321008329612683,156
257,Smartline,2,SA,0.1430527234149282,12
258,Loan Market,13,VIC,0.2350656349921069,182
259,Loan Market,8,WA,0.211180576528433,48
260,Lendi,2,NSW,0.1939061219378143,26
261,Loan Market,20,QLD,0.3991985450487171,180
262,Smartline,1,NSW,0.1197148559895982,14
263,Lendi,5,WA,0.2532410248217659,50
264,Loan Market,9,NSW,0.295189802307424,72
265,Mortgage Choice,17,VIC,0.3183447877853176,238
266,Mortgage Choice,9,QLD,0.2219848498962261,126
267,Loan Market,11,NSW,0.2512510221917179,99
268,Mortgage Choice,15,NSW,0.3022433528614009,135
269,Aussie,6,NSW,0.2452688302774955,78
270,Aussie,3,NSW,0.1908865171166808,21
271,Mortgage Choice,17,VIC,0.3746977569272706,238
272,Mortgage Choice,5,NSW,0.2235747800115345,55
273,Mortgage Choice,12,VIC,0.3440084473867806,168
274,Smartline,18,NSW,0.31892150596668,234
275,Loan Market,14,QLD,0.3213125485634371,168
276,Loan Market,11,NSW,0.1959162560317855,66
277,Mortgage Choice,9,NSW,0.2019065549066099,72
278,Loan Market,2,NSW,0.1613801314922803,14
279,Mortgage Choice,12,VIC,0.2986372314464088,120
280,Mortgage Choice,3,WA,0.172436449028965,30
281,Smartline,3,VIC,0.1561482653415563,30
282,Aussie,1,NSW,0.1383703742877437,9
283,Aussie,8,QLD,0.2839304341748436,80
284,Lendi,8,QLD,0.2225588737741951,64
285,Loan Market,11,NSW,0.3332234567715235,66
286,Lendi,9,QLD,0.2757905975739396,90
287,Aussie,5,SA,0.216013807115188,70
288,Loan Market,14,NSW,0.2662241081387652,196
289,Aussie,3,QLD,0.2087333356489869,27
290,Loan Market,5,QLD,0.1827180297788025,40
291,Lendi,5,VIC,0.1581946084698005,30
292,Lendi,19,NSW,0.3859495264577782,133
293,Mortgage Choice,14,NSW,0.2594218878801712,182
294,Aussie,4,WA,0.1613215488254646,24
295,Lendi,13,SA,0.2956459430985881,169
296,Loan Market,10,QLD,0.3376447498440155,120
297,Mortgage Choice,18,VIC,0.3319579485472629,234
298,Lendi,8,QLD,0.2199624218244799,88
299,Loan Market,8,VIC,0.2616320769047576,112
300,Lendi,7,VIC,0.1806596509068384,56
301,Lendi,8,NSW,0.2514982233357321,120
302,Loan Market,14,QLD,0.3502074382665806,126
303,Loan Market,19,VIC,0.3572516790351114,209
304,Loan Market,6,QLD,0.2479153998488903,78
305,Mortgage Choice,1,NSW,0.1622007473124132,10
306,Smartline,15,NSW,0.2944261312668677,120
307,Loan Market,1,NSW,0.1450768359936223,11
308,Aussie,17,VIC,0.3307084931006915,153
309,Mortgage Choice,1,SA,0.1489326609764233,14
310,Aussie,15,NSW,0.325345126472694,120
311,Aussie,2,WA,0.184586997724015,18
312,Lendi,14,VIC,0.3258033887355498,168
313,Lendi,8,QLD,0.1508900250058248,96
314,Smartline,8,NSW,0.2325942133929791,72
315,Mortgage Choice,19,WA,0.3151702330307633,209
316,Loan Market,7,QLD,0.2143495461636436,56
317,Aussie,19,NSW,0.3636673644266178,209
318,Lendi,6,NSW,0.2461651925329648,42
319,Lendi,6,WA,0.2109459586514965,78
320,Aussie,3,SA,0.1850726306420141,21
321,Loan Market,7,NSW,0.25175697332301,84
322,Mortgage Choice,19,QLD,0.4109713290936755,266
323,Loan Market,8,WA,0.2316945126825081,48
324,Aussie,10,WA,0.2632962804588143,130
325,Smartline,20,SA,0.3803508155784789,240
326,Mortgage Choice,15,QLD,0.3010090362449123,165
327,Loan Market,15,VIC,0.2930809671795163,165
328,Loan Market,1,NSW,0.1,11
329,Aussie,20,NSW,0.3423168672916484,280
330,Lendi,7,QLD,0.1617479208376569,49
331,Aussie,4,QLD,0.2319319469558638,24
332,Mortgage Choice,6,NSW,0.21859456029041,66
333,Lendi,1,WA,0.1475921359468608,15
334,Lendi,5,QLD,0.1748880184871621,65
335,Lendi,1,VIC,0.1530422742132118,8
336,Lendi,4,VIC,0.1583207042820633,60
337,Mortgage Choice,2,VIC,0.1700906494817211,12
338,Mortgage Choice,10,NSW,0.2686006894022473,140
339,Aussie,5,NSW,0.1698515704175139,30
340,Lendi,10,NSW,0.2291838312312158,80
341,Aussie,1,NSW,0.1856769774108291,13
342,Aussie,6,VIC,0.2101499015998045,48
343,Lendi,13,VIC,0.2686642849757288,117
344,Aussie,15,NSW,0.3070322794408668,195
345,Aussie,4,QLD,0.1526292069652687,24
346,Loan Market,13,NSW,0.293648574676833,143
347,Loan Market,20,WA,0.4091069907682564,120
348,Lendi,15,SA,0.3190315266342008,90
349,Aussie,8,NSW,0.3187271705286384,104
350,Loan Market,5,VIC,0.214747584881715,45
351,Loan Market,15,NSW,0.3280484056744774,90
352,Mortgage Choice,4,VIC,0.1562094254161968,60
353,Loan Market,12,VIC,0.2756513293605067,144
354,Lendi,13,NSW,0.2687345154938208,130
355,Lendi,2,VIC,0.1,20
356,Loan Market,19,NSW,0.4020991777745082,114
357,Lendi,19,NSW,0.3500992305557419,285
358,Loan Market,4,QLD,0.1613859973983342,44
359,Smartline,4,NSW,0.1953699511885462,56
360,Loan Market,11,VIC,0.2899374843277531,154
361,Aussie,5,VIC,0.1887728808482802,65
362,Loan Market,20,SA,0.3799089416336844,200
363,Aussie,11,NSW,0.2981165592560041,66
364,Loan Market,10,VIC,0.2473932241886518,140
365,Smartline,8,QLD,0.2465816809617167,48
366,Aussie,6,VIC,0.1539264383563797,78
367,Smartline,6,SA,0.1685538350550288,60
368,Smartline,8,QLD,0.2571938922328141,64
369,Lendi,15,QLD,0.2747254476291446,180
370,Lendi,14,QLD,0.3161948141489654,168
371,Lendi,11,SA,0.2668550426231025,154
372,Lendi,12,WA,0.271243645811792,144
373,Lendi,13,QLD,0.2670038030861295,104
374,Loan Market,8,QLD,0.2678269006336882,48
375,Lendi,18,NSW,0.4165461904081942,234
376,Aussie,1,NSW,0.1625067256910068,8
377,Mortgage Choice,15,VIC,0.3312871750485486,195
378,Lendi,8,NSW,0.2121184279549877,104
379,Mortgage Choice,11,VIC,0.2301365968861467,110
380,Aussie,12,NSW,0.2826091383317839,72
381,Lendi,12,NSW,0.2499187623214673,180
382,Loan Market,4,QLD,0.1259586455089462,48
383,Loan Market,16,SA,0.3601206034327954,240
384,Mortgage Choice,4,NSW,0.2178258375888141,40
385,Mortgage Choice,5,VIC,0.1699406429466417,65
386,Mortgage Choice,5,WA,0.2085387512447735,70
387,Aussie,8,NSW,0.2710683293727118,96
388,Lendi,10,QLD,0.2671759340471658,120
389,Mortgage Choice,17,VIC,0.3022395873865443,102
390,Mortgage Choice,9,NSW,0.2398487305367015,81
391,Smartline,19,SA,0.4144383297014696,133
392,Aussie,14,NSW,0.316645932526179,98
393,Aussie,8,QLD,0.2548696236113982,56
394,Mortgage Choice,9,QLD,0.259957022677919,81
395,Aussie,11,NSW,0.2420571024707611,66
396,Smartline,1,QLD,0.1302704173251075,9
397,Mortgage Choice,14,SA,0.319860280496811,98
398,Aussie,5,NSW,0.2285905123007143,50
399,Mortgage Choice,14,WA,0.3464966732821259,112
400,Mortgage Choice,4,VIC,0.1579663059331132,52
401,Lendi,1,VIC,0.1671592187137018,9
402,Smartline,19,VIC,0.4095465439101641,114
403,Loan Market,8,NSW,0.2014521380399192,48
404,Mortgage Choice,15,SA,0.3720361497529921,225
405,Aussie,15,SA,0.3773629289570466,120
406,Smartline,9,VIC,0.3398780218867581,126
407,Aussie,9,QLD,0.2560826704290498,108
408,Lendi,10,VIC,0.2682748636691857,70
409,Smartline,20,VIC,0.4089448036191061,280
410,Lendi,9,QLD,0.2759230935567295,135
411,Aussie,3,VIC,0.2154228401348462,21
412,Smartline,20,VIC,0.4074411613162786,160
413,Smartline,11,QLD,0.2682878331836686,165
414,Loan Market,6,VIC,0.2547698992340726,42
415,Loan Market,2,NSW,0.1265061047607546,16
416,Aussie,7,NSW,0.2242048317853882,77
417,Aussie,18,VIC,0.4107307465617429,252
418,Aussie,2,QLD,0.1202413725657888,28
419,Loan Market,17,VIC,0.3202883520050993,204
420,Mortgage Choice,11,QLD,0.2955111551877052,88
421,Mortgage Choice,12,VIC,0.2977869190632654,108
422,Mortgage Choice,19,VIC,0.3373741107320314,209
423,Lendi,7,NSW,0.2094332099044451,70
424,Aussie,20,VIC,0.3386726278072381,140
425,Lendi,6,QLD,0.24631697498322,66
426,Loan Market,1,WA,0.1430441524815314,8
427,Aussie,17,VIC,0.4067254568766221,221
428,Smartline,11,NSW,0.2748385085414008,77
429,Aussie,18,NSW,0.3483090893808993,108
430,Lendi,17,NSW,0.3329112383547871,238
431,Lendi,7,QLD,0.215453005768265,56
432,Mortgage Choice,17,NSW,0.3478787383296831,102
433,Loan Market,20,VIC,0.4679342651802411,240
434,Lendi,9,VIC,0.2361399115465224,135
435,Lendi,17,NSW,0.3332776288730042,170
436,Mortgage Choice,20,VIC,0.3822957845989113,200
437,Lendi,8,NSW,0.2741596077220491,48
438,Mortgage Choice,17,VIC,0.2942655403624528,238
439,Mortgage Choice,7,NSW,0.2399282457918376,84
440,Lendi,1,WA,0.1233901188392593,13
441,Lendi,13,NSW,0.3153645441132832,182
442,Smartline,19,SA,0.350718402017384,209
443,Aussie,19,VIC,0.2873564181084949,190
444,Aussie,17,WA,0.356935216094062,187
445,Mortgage Choice,13,VIC,0.3086400669621404,91
446,Smartline,16,QLD,0.31173218920322,144
447,Smartline,8,QLD,0.2136579648949949,64
448,Mortgage Choice,19,VIC,0.3221019546219321,228
449,Aussie,18,VIC,0.3830584979538605,252
450,Lendi,1,VIC,0.1828775523863383,10
451,Mortgage Choice,14,VIC,0.2772332190188439,154
452,Loan Market,19,NSW,0.3491022939161402,285
453,Aussie,15,VIC,0.3177848807601363,105
454,Smartline,18,VIC,0.4354802848362441,144
455,Lendi,2,VIC,0.1830792611656126,16
456,Aussie,17,QLD,0.3109804569747068,238
457,Lendi,18,QLD,0.3666323108321677,216
458,Aussie,6,SA,0.1638157960776671,78
459,Lendi,19,NSW,0.3931296608470659,285
460,Lendi,4,VIC,0.246644158774057,56
461,Lendi,1,VIC,0.2107927089779385,11
462,Loan Market,8,VIC,0.2617212726216019,72
463,Mortgage Choice,7,WA,0.2035805675446155,42
464,Loan Market,3,NSW,0.1304684385220056,39
465,Smartline,10,QLD,0.2109928234820811,120
466,Aussie,10,VIC,0.161782401167551,70
467,Aussie,19,VIC,0.3922849517052773,247
468,Mortgage Choice,14,QLD,0.304400756792146,140
469,Lendi,2,VIC,0.1958225658258594,24
470,Smartline,1,VIC,0.2019811019832176,9
471,Lendi,18,VIC,0.3594966940365843,180
472,Smartline,7,NSW,0.2291086563399602,91
473,Lendi,8,VIC,0.2197487879425886,48
474,Smartline,1,NSW,0.1398870453989657,6
475,Loan Market,3,VIC,0.2014964469365527,27
476,Smartline,8,VIC,0.2298968739372141,64
477,Lendi,15,VIC,0.3088347316636511,225
478,Loan Market,5,QLD,0.1993589099195002,35
479,Smartline,3,NSW,0.2070215568621556,24
480,Loan Market,19,QLD,0.3437568454759464,114
481,Loan Market,1,NSW,0.1496715018856788,6
482,Loan Market,15,VIC,0.328584724322245,165
483,Aussie,8,WA,0.2766077666254833,80
484,Loan Market,2,NSW,0.1556246128120203,26
485,Loan Market,3,VIC,0.1508761814881897,21
486,Smartline,14,VIC,0.2910473669504676,126
487,Lendi,14,VIC,0.3448570101555383,182
488,Aussie,11,NSW,0.3431656854511213,121
489,Smartline,16,NSW,0.2860184765209889,96
490,Smartline,4,WA,0.149664443472555,36
491,Aussie,20,VIC,0.3740921124654249,120
492,Loan Market,5,NSW,0.2038834633623815,35
493,Aussie,14,VIC,0.3355439347944249,140
494,Lendi,16,QLD,0.3008103446989479,208
495,Aussie,18,NSW,0.3187911837172687,234
496,Aussie,7,VIC,0.228833050359677,56
497,Loan Market,10,VIC,0.2509559747927491,90
498,Lendi,7,SA,0.2564352349220034,105
499,Smartline,1,NSW,0.1690575931116634,11
500,Smartline,19,VIC,0.3874382771671626,285
