customer_id,age,income,employment_type,dependents,state,credit_score_band
96,32,219431.0,Full-time,2,QLD,Excellent
97,38,70901.0,Full-time,2,QLD,Medium
98,29,82701.0,Full-time,1,SA,Medium
99,56,44371.0,Contract,0,VIC,Low
100,56,45767.0,Part-time,1,NSW,Low
101,54,113781.0,Full-time,0,SA,Good
102,26,52148.0,Full-time,3,SA,Low
103,63,62098.0,Contract,2,WA,Medium
104,60,110358.0,Full-time,0,WA,Good
105,62,52349.0,Full-time,2,NSW,Low
106,49,126780.0,Self-employed,0,WA,Good
107,28,79739.0,Part-time,0,SA,Medium
108,30,75184.0,Full-time,1,VIC,Medium
109,29,43300.0,Full-time,0,QLD,Low
110,33,77232.0,Contract,2,QLD,Medium
111,55,48314.0,Contract,0,NSW,Low
112,54,75713.0,Full-time,2,VIC,Medium
113,44,56902.0,Full-time,1,WA,Low
114,45,97091.0,Full-time,2,VIC,Medium
115,58,58931.0,Full-time,0,VIC,Low
116,56,165865.0,Self-employed,1,VIC,Excellent
117,65,52168.0,Full-time,2,NSW,Low
118,61,45831.0,Self-employed,1,QLD,Low
119,43,71186.0,Part-time,0,VIC,Medium
120,48,102635.0,Self-employed,1,NSW,Good
121,56,102237.0,Contract,3,WA,Good
122,22,65081.0,Full-time,1,SA,Medium
123,56,70937.0,Full-time,1,NSW,Medium
124,58,70988.0,Part-time,2,VIC,Medium
125,35,34929.0,Self-employed,0,VIC,Low
126,24,99911.0,Full-time,3,VIC,Medium
127,22,31923.0,Self-employed,1,VIC,Low
128,26,34961.0,Full-time,0,VIC,Low
129,47,61544.0,Full-time,0,NSW,Medium
130,35,51025.0,Full-time,0,NSW,Low
131,60,89150.0,Contract,1,NSW,Medium
132,48,74883.0,Full-time,1,QLD,Medium
133,30,64158.0,Full-time,2,NSW,Medium
134,36,34106.0,Contract,2,VIC,Low
135,36,60675.0,Self-employed,0,NSW,Medium
136,47,58323.0,Self-employed,1,VIC,Low
137,63,66909.0,Full-time,1,NSW,Medium
138,34,48290.0,Full-time,0,NSW,Low
139,53,77762.0,Full-time,1,WA,Medium
140,60,50348.0,Self-employed,0,VIC,Low
141,53,74203.0,Part-time,0,QLD,Medium
142,25,89145.0,Part-time,0,VIC,Medium
143,51,45830.0,Self-employed,2,WA,Low
144,58,40697.0,Full-time,1,VIC,Low
145,44,75977.0,Part-time,1,NSW,Medium
146,60,30929.0,Full-time,1,SA,Low
147,36,104384.0,Full-time,0,NSW,Good
148,64,60203.0,Full-time,0,SA,Medium
149,50,56535.0,Self-employed,0,VIC,Low
150,57,78669.0,Self-employed,0,NSW,Medium
151,34,76266.0,Full-time,2,WA,Medium
152,53,60070.0,Full-time,1,NSW,Medium
153,28,92903.0,Full-time,0,NSW,Medium
154,43,42779.0,Contract,0,VIC,Low
155,49,85492.0,Part-time,1,QLD,Medium
156,23,34916.0,Contract,1,NSW,Low
157,63,77290.0,Self-employed,1,VIC,Medium
158,27,50821.0,Full-time,0,QLD,Low
159,49,31084.0,Full-time,1,NSW,Low
160,49,68072.0,Full-time,0,QLD,Medium
161,65,58852.0,Full-time,2,SA,Low
162,65,27685.0,Full-time,0,SA,Low
163,41,20810.0,Full-time,0,NSW,Low
164,51,55485.0,Part-time,1,QLD,Low
165,32,134472.0,Full-time,0,WA,Good
166,49,70299.0,Full-time,1,WA,Medium
167,46,42867.0,Part-time,0,NSW,Low
168,60,102841.0,Full-time,0,NSW,Good
169,54,94241.0,Self-employed,2,NSW,Medium
170,22,113073.0,Self-employed,0,VIC,Good
171,48,84284.0,Full-time,0,NSW,Medium
172,34,93242.0,Part-time,0,QLD,Medium
173,62,86297.0,Full-time,2,NSW,Medium
174,24,47157.0,Full-time,1,QLD,Low
175,60,26406.0,Full-time,3,NSW,Low
176,27,46140.0,Contract,2,VIC,Low
177,29,104034.0,Full-time,2,VIC,Good
178,48,49488.0,Full-time,1,VIC,Low
179,30,55674.0,Self-employed,2,VIC,Low
180,58,33427.0,Full-time,0,VIC,Low
181,54,45454.0,Full-time,2,NSW,Low
182,63,59603.0,Self-employed,2,NSW,Low
183,65,76595.0,Full-time,1,VIC,Medium
184,45,47604.0,Part-time,0,NSW,Low
185,36,45969.0,Self-employed,1,NSW,Low
186,53,91225.0,Self-employed,1,NSW,Medium
187,53,70448.0,Contract,1,QLD,Medium
188,45,74932.0,Self-employed,3,VIC,Medium
189,62,128561.0,Part-time,1,NSW,Good
190,33,46512.0,Self-employed,0,NSW,Low
191,60,58424.0,Contract,1,VIC,Low
192,23,78872.0,Contract,1,VIC,Medium
193,24,38725.0,Self-employed,2,QLD,Low
194,58,67139.0,Full-time,1,WA,Medium
195,38,60542.0,Self-employed,0,VIC,Medium
196,23,240061.0,Full-time,0,QLD,Excellent
197,23,62940.0,Full-time,0,QLD,Medium
198,49,106774.0,Full-time,0,VIC,Good
199,44,90669.0,Contract,2,NSW,Medium
200,58,33581.0,Full-time,0,VIC,Low
201,53,27600.0,Self-employed,0,VIC,Low
202,54,67745.0,Part-time,2,VIC,Medium
203,22,112271.0,Full-time,0,NSW,Good
204,40,69145.0,Part-time,0,QLD,Medium
205,23,62282.0,Part-time,1,QLD,Medium
206,65,51946.0,Self-employed,0,VIC,Low
207,47,30885.0,Full-time,1,NSW,Low
208,53,37039.0,Full-time,2,VIC,Low
209,27,26605.0,Part-time,2,SA,Low
210,53,34492.0,Full-time,0,QLD,Low
211,25,46028.0,Full-time,0,NSW,Low
212,32,88257.0,Full-time,1,VIC,Medium
213,38,47929.0,Part-time,0,WA,Low
214,59,68037.0,Full-time,1,QLD,Medium
215,45,64063.0,Part-time,0,NSW,Medium
216,26,76843.0,Contract,1,QLD,Medium
217,55,35689.0,Self-employed,2,VIC,Low
218,27,101681.0,Full-time,3,VIC,Good
219,43,29626.0,Full-time,2,VIC,Low
220,32,47863.0,Full-time,0,QLD,Low
221,37,59252.0,Full-time,1,NSW,Low
222,54,87559.0,Full-time,1,VIC,Medium
223,30,119331.0,Full-time,2,QLD,Good
224,27,87905.0,Part-time,2,QLD,Medium
225,37,121535.0,Contract,3,NSW,Good
226,50,39554.0,Contract,2,VIC,Low
227,24,108574.0,Full-time,1,NSW,Good
228,41,99641.0,Part-time,1,VIC,Medium
229,57,18067.0,Full-time,3,NSW,Low
230,40,53625.0,Part-time,1,NSW,Low
231,47,80904.0,Full-time,2,VIC,Medium
232,24,46272.0,Contract,2,WA,Low
233,40,34790.0,Self-employed,1,WA,Low
234,41,172316.0,Full-time,0,VIC,Excellent
235,53,63292.0,Self-employed,0,VIC,Medium
236,28,64164.0,Part-time,0,NSW,Medium
237,62,31117.0,Full-time,1,NSW,Low
238,54,44083.0,Part-time,1,QLD,Low
239,61,38219.0,Part-time,1,QLD,Low
240,60,102692.0,Self-employed,1,WA,Good
241,39,77058.0,Self-employed,3,SA,Medium
242,61,45014.0,Part-time,0,WA,Low
243,22,79241.0,Self-employed,2,NSW,Medium
244,32,52746.0,Contract,0,SA,Low
245,49,67322.0,Full-time,1,VIC,Medium
246,46,67163.0,Full-time,1,WA,Medium
247,44,73875.0,Self-employed,2,VIC,Medium
248,52,69552.0,Contract,1,VIC,Medium
249,51,73904.0,Full-time,0,NSW,Medium
250,63,112185.0,Full-time,0,NSW,Good
251,56,82478.0,Full-time,0,QLD,Medium
252,28,50592.0,Self-employed,0,SA,Low
253,37,57012.0,Contract,1,NSW,Low
254,47,110756.0,Full-time,1,NSW,Good
255,23,63336.0,Full-time,2,NSW,Medium
256,22,49662.0,Contract,2,NSW,Low
257,33,43671.0,Full-time,1,NSW,Low
258,26,68632.0,Self-employed,0,NSW,Medium
259,58,39049.0,Full-time,2,NSW,Low
260,53,113823.0,Part-time,1,WA,Good
261,30,35635.0,Full-time,1,WA,Low
262,62,125371.0,Part-time,1,NSW,Good
263,56,51916.0,Contract,1,SA,Low
264,40,34949.0,Contract,2,NSW,Low
265,37,65814.0,Self-employed,3,QLD,Medium
266,24,37178.0,Full-time,2,QLD,Low
267,41,60912.0,Full-time,2,NSW,Medium
268,45,44857.0,Full-time,2,NSW,Low
269,54,96042.0,Contract,0,SA,Medium
270,45,64111.0,Full-time,2,NSW,Medium
271,32,33049.0,Contract,0,NSW,Low
272,29,44422.0,Contract,1,SA,Low
273,57,85176.0,Part-time,0,NSW,Medium
274,59,113954.0,Self-employed,0,VIC,Good
275,61,58534.0,Contract,0,WA,Low
276,41,35518.0,Self-employed,0,SA,Low
277,56,101419.0,Part-time,0,SA,Good
278,46,84989.0,Self-employed,0,VIC,Medium
279,56,115067.0,Full-time,2,NSW,Good
280,46,69224.0,Part-time,2,QLD,Medium
281,50,46152.0,Full-time,2,QLD,Low
282,39,77532.0,Full-time,2,VIC,Medium
283,39,70486.0,Self-employed,2,WA,Medium
284,23,44917.0,Part-time,2,WA,Low
285,56,66126.0,Full-time,1,QLD,Medium
286,37,54311.0,Full-time,1,NSW,Low
287,62,86835.0,Contract,2,NSW,Medium
288,57,76573.0,Self-employed,0,VIC,Medium
289,54,35391.0,Full-time,0,NSW,Low
290,25,33651.0,Contract,1,NSW,Low
291,54,57245.0,Full-time,0,VIC,Low
292,35,60865.0,Part-time,1,QLD,Medium
293,42,87596.0,Self-employed,0,QLD,Medium
294,41,77393.0,Contract,2,NSW,Medium
295,29,124162.0,Self-employed,3,NSW,Good
296,28,47401.0,Full-time,0,NSW,Low
297,24,46067.0,Part-time,0,VIC,Low
298,38,37053.0,Full-time,0,VIC,Low
299,54,87091.0,Full-time,1,VIC,Medium
300,33,60529.0,Part-time,0,NSW,Medium
301,43,23699.0,Full-time,1,NSW,Low
302,43,66243.0,Full-time,0,WA,Medium
303,51,68390.0,Full-time,0,NSW,Medium
304,59,55705.0,Part-time,0,QLD,Low
305,59,69448.0,Self-employed,1,NSW,Medium
306,29,32529.0,Full-time,0,NSW,Low
307,48,136014.0,Contract,1,NSW,Good
308,48,72412.0,Full-time,0,WA,Medium
309,55,24665.0,Part-time,0,NSW,Low
310,42,59698.0,Part-time,0,SA,Low
311,51,73377.0,Full-time,1,QLD,Medium
312,54,34322.0,Full-time,1,QLD,Low
313,49,78184.0,Contract,2,VIC,Medium
314,54,138755.0,Full-time,0,WA,Good
315,26,43383.0,Full-time,0,VIC,Low
316,40,74178.0,Full-time,0,VIC,Medium
317,25,66456.0,Self-employed,0,VIC,Medium
318,56,97163.0,Full-time,0,NSW,Medium
319,38,56703.0,Self-employed,0,NSW,Low
320,65,35124.0,Full-time,0,WA,Low
321,49,94098.0,Full-time,1,QLD,Medium
322,51,36184.0,Full-time,2,VIC,Low
323,50,147921.0,Self-employed,0,VIC,Good
324,27,79252.0,Self-employed,1,QLD,Medium
325,56,44380.0,Full-time,2,VIC,Low
326,62,104227.0,Full-time,0,VIC,Good
327,58,59600.0,Full-time,2,VIC,Low
328,45,53600.0,Full-time,3,NSW,Low
329,50,42598.0,Full-time,2,NSW,Low
330,52,23410.0,Self-employed,1,SA,Low
331,56,80999.0,Self-employed,1,SA,Medium
332,54,26527.0,Full-time,1,VIC,Low
333,42,40270.0,Contract,0,VIC,Low
334,53,74341.0,Contract,2,QLD,Medium
335,44,46614.0,Full-time,0,QLD,Low
336,54,64769.0,Full-time,2,NSW,Medium
337,24,32635.0,Contract,0,VIC,Low
338,39,50301.0,Part-time,0,NSW,Low
339,46,64971.0,Full-time,1,SA,Medium
340,63,37207.0,Self-employed,1,QLD,Low
341,52,139132.0,Full-time,0,NSW,Good
342,24,43534.0,Self-employed,1,WA,Low
343,61,119278.0,Full-time,0,WA,Good
344,45,55056.0,Part-time,1,NSW,Low
345,53,27331.0,Full-time,0,QLD,Low
346,43,33913.0,Full-time,0,QLD,Low
347,44,65384.0,Full-time,0,QLD,Medium
348,23,100347.0,Full-time,0,QLD,Good
349,48,145058.0,Self-employed,1,VIC,Good
350,63,63838.0,Full-time,0,SA,Medium
351,23,33236.0,Full-time,2,VIC,Low
352,47,68820.0,Part-time,0,NSW,Medium
353,38,39632.0,Part-time,0,NSW,Low
354,61,72845.0,Full-time,1,NSW,Medium
355,54,37394.0,Full-time,0,VIC,Low
356,30,21062.0,Contract,0,NSW,Low
357,64,115662.0,Full-time,0,WA,Good
358,60,53465.0,Self-employed,0,WA,Low
359,50,61379.0,Full-time,1,WA,Medium
360,63,98553.0,Part-time,1,WA,Medium
361,47,153188.0,Full-time,0,NSW,Excellent
362,56,85823.0,Self-employed,1,VIC,Medium
363,46,63038.0,Full-time,3,NSW,Medium
364,45,75466.0,Full-time,2,NSW,Medium
365,34,51669.0,Full-time,0,WA,Low
366,28,60965.0,Self-employed,0,VIC,Medium
367,57,64372.0,Self-employed,1,NSW,Medium
368,41,40404.0,Full-time,0,NSW,Low
369,22,60511.0,Full-time,0,VIC,Medium
370,29,71937.0,Self-employed,0,NSW,Medium
371,37,77537.0,Self-employed,0,NSW,Medium
372,35,74508.0,Part-time,1,QLD,Medium
373,33,30653.0,Contract,1,WA,Low
374,44,110706.0,Full-time,0,WA,Good
375,36,106207.0,Full-time,1,VIC,Good
376,49,57064.0,Full-time,1,NSW,Low
377,55,75189.0,Part-time,1,WA,Medium
378,23,53730.0,Full-time,3,QLD,Low
379,53,87202.0,Full-time,3,VIC,Medium
380,44,39849.0,Full-time,1,WA,Low
381,43,117152.0,Full-time,2,VIC,Good
382,46,85059.0,Full-time,0,NSW,Medium
383,43,86053.0,Full-time,1,SA,Medium
384,43,56810.0,Contract,1,VIC,Low
385,63,29546.0,Full-time,1,QLD,Low
386,27,93150.0,Full-time,0,VIC,Medium
387,36,30038.0,Part-time,0,NSW,Low
388,64,93712.0,Self-employed,0,NSW,Medium
389,58,40698.0,Part-time,1,NSW,Low
390,54,27078.0,Full-time,3,NSW,Low
391,29,59904.0,Self-employed,0,NSW,Low
392,65,108164.0,Full-time,2,VIC,Good
393,65,36945.0,Full-time,0,SA,Low
394,26,133188.0,Part-time,2,WA,Good
395,60,83147.0,Self-employed,2,NSW,Medium
396,25,64756.0,Part-time,0,WA,Medium
397,27,48155.0,Contract,0,VIC,Low
398,53,49864.0,Part-time,0,QLD,Low
399,51,74242.0,Self-employed,3,NSW,Medium
400,56,91402.0,Part-time,0,VIC,Medium
401,61,44500.0,Full-time,1,WA,Low
402,37,40004.0,Full-time,0,VIC,Low
403,34,53803.0,Full-time,2,NSW,Low
404,63,120188.0,Full-time,0,NSW,Good
405,51,32583.0,Self-employed,0,NSW,Low
406,40,106005.0,Part-time,0,QLD,Good
407,38,61153.0,Full-time,1,WA,Medium
408,40,26203.0,Full-time,0,QLD,Low
409,49,47533.0,Full-time,1,WA,Low
410,47,81213.0,Self-employed,0,QLD,Medium
411,58,147400.0,Full-time,1,NSW,Good
412,47,30832.0,Part-time,1,NSW,Low
413,44,14624.0,Part-time,0,VIC,Low
414,30,31108.0,Full-time,0,NSW,Low
415,33,105367.0,Full-time,1,QLD,Good
416,22,24419.0,Full-time,0,NSW,Low
417,22,126580.0,Self-employed,0,VIC,Good
418,55,109909.0,Self-employed,1,VIC,Good
419,53,65875.0,Self-employed,0,VIC,Medium
420,46,43775.0,Self-employed,1,VIC,Low
421,61,61552.0,Full-time,0,SA,Medium
422,22,81271.0,Full-time,0,NSW,Medium
423,37,75300.0,Self-employed,2,QLD,Medium
424,60,142890.0,Self-employed,0,NSW,Good
425,26,52573.0,Part-time,0,NSW,Low
426,43,31244.0,Part-time,1,NSW,Low
427,50,28606.0,Full-time,0,VIC,Low
428,24,25883.0,Full-time,1,VIC,Low
429,33,66048.0,Part-time,2,NSW,Medium
430,47,53253.0,Contract,1,VIC,Low
431,37,60860.0,Full-time,0,NSW,Medium
432,58,45774.0,Full-time,1,QLD,Low
433,43,34369.0,Full-time,0,QLD,Low
434,50,81403.0,Full-time,0,QLD,Medium
435,35,17474.0,Full-time,2,VIC,Low
436,49,40103.0,Contract,0,VIC,Low
437,26,88720.0,Self-employed,0,NSW,Medium
438,51,38161.0,Self-employed,0,NSW,Low
439,26,72827.0,Part-time,3,QLD,Medium
440,33,40130.0,Full-time,0,VIC,Low
441,37,47671.0,Contract,0,SA,Low
442,47,79814.0,Full-time,1,SA,Medium
443,47,31605.0,Contract,1,WA,Low
444,42,86911.0,Self-employed,0,SA,Medium
445,60,61265.0,Full-time,2,QLD,Medium
446,57,112220.0,Full-time,0,NSW,Good
447,54,66441.0,Full-time,0,NSW,Medium
448,51,35075.0,Full-time,0,QLD,Low
449,58,142059.0,Full-time,1,NSW,Good
450,44,36572.0,Self-employed,0,NSW,Low
451,31,53446.0,Self-employed,2,VIC,Low
452,26,96636.0,Full-time,3,NSW,Medium
453,57,23389.0,Full-time,0,VIC,Low
454,55,122987.0,Part-time,3,VIC,Good
455,52,33677.0,Full-time,0,QLD,Low
456,31,47691.0,Full-time,0,VIC,Low
457,40,69177.0,Part-time,2,VIC,Medium
458,53,58639.0,Full-time,1,NSW,Low
459,22,88840.0,Full-time,2,WA,Medium
460,26,26892.0,Full-time,1,NSW,Low
461,25,86140.0,Full-time,2,VIC,Medium
462,37,89646.0,Full-time,2,VIC,Medium
463,45,100169.0,Full-time,0,NSW,Good
464,37,27043.0,Full-time,2,NSW,Low
465,23,28725.0,Self-employed,3,NSW,Low
466,49,50454.0,Self-employed,0,NSW,Low
467,53,30321.0,Part-time,1,NSW,Low
468,48,24295.0,Full-time,2,SA,Low
469,41,49378.0,Full-time,2,VIC,Low
470,45,67309.0,Full-time,0,NSW,Medium
471,33,242678.0,Self-employed,1,VIC,Excellent
472,56,78774.0,Full-time,3,NSW,Medium
473,54,143794.0,Part-time,0,NSW,Good
474,54,58567.0,Full-time,2,QLD,Low
475,64,79204.0,Contract,1,WA,Medium
476,58,55655.0,Contract,0,QLD,Low
477,33,229019.0,Full-time,0,SA,Excellent
478,24,42498.0,Self-employed,2,WA,Low
479,22,45479.0,Full-time,0,VIC,Low
480,54,89167.0,Part-time,0,WA,Medium
481,61,66419.0,Full-time,1,VIC,Medium
482,31,48432.0,Full-time,1,NSW,Low
483,64,96779.0,Full-time,0,QLD,Medium
484,65,58655.0,Contract,1,NSW,Low
485,50,58449.0,Self-employed,1,NSW,Low
486,34,67191.0,Full-time,0,VIC,Medium
487,33,25158.0,Part-time,1,QLD,Low
488,52,26994.0,Full-time,1,NSW,Low
489,23,103099.0,Full-time,0,VIC,Good
490,56,42681.0,Self-employed,2,VIC,Low
491,44,56023.0,Full-time,1,VIC,Low
492,38,134084.0,Part-time,0,VIC,Good
493,47,57301.0,Full-time,0,VIC,Low
494,29,53904.0,Full-time,1,SA,Low
495,50,93717.0,Full-time,0,NSW,Medium
496,47,44394.0,Contract,0,WA,Low
497,31,109258.0,Self-employed,0,NSW,Good
498,47,92761.0,Full-time,1,VIC,Medium
499,55,149517.0,Self-employed,0,QLD,Good
500,62,42397.0,Contract,2,WA,Low
501,28,118597.0,Full-time,1,NSW,Good
502,25,78988.0,Full-time,2,QLD,Medium
503,32,30863.0,Full-time,1,NSW,Low
504,50,16349.0,Full-time,1,VIC,Low
505,57,40174.0,Part-time,1,QLD,Low
506,46,69298.0,Full-time,1,NSW,Medium
507,42,74509.0,Full-time,0,QLD,Medium
508,57,58131.0,Full-time,0,NSW,Low
509,31,58392.0,Full-time,2,VIC,Low
510,58,56219.0,Part-time,1,QLD,Low
511,30,100269.0,Part-time,0,QLD,Good
512,45,29198.0,Full-time,0,NSW,Low
513,56,68470.0,Full-time,1,NSW,Medium
514,56,39681.0,Full-time,0,WA,Low
515,57,38053.0,Contract,3,SA,Low
516,39,107809.0,Full-time,1,VIC,Good
517,60,36621.0,Full-time,0,VIC,Low
518,53,55840.0,Full-time,0,QLD,Low
519,45,159412.0,Full-time,0,VIC,Excellent
520,44,91039.0,Full-time,0,NSW,Medium
521,53,47692.0,Part-time,2,QLD,Low
522,58,49703.0,Self-employed,2,NSW,Low
523,33,32416.0,Full-time,3,WA,Low
524,34,114728.0,Part-time,1,VIC,Good
525,44,99278.0,Self-employed,1,VIC,Medium
526,46,84398.0,Full-time,2,QLD,Medium
527,56,89180.0,Full-time,2,NSW,Medium
528,62,40649.0,Full-time,2,VIC,Low
529,51,27613.0,Self-employed,2,QLD,Low
530,38,79243.0,Self-employed,1,NSW,Medium
531,41,93366.0,Full-time,0,VIC,Medium
532,46,133723.0,Full-time,0,NSW,Good
533,43,54152.0,Self-employed,1,VIC,Low
534,34,50343.0,Full-time,1,NSW,Low
535,40,53123.0,Self-employed,2,QLD,Low
536,57,83732.0,Full-time,2,NSW,Medium
537,33,51998.0,Contract,1,QLD,Low
538,62,58331.0,Self-employed,0,QLD,Low
539,40,90719.0,Full-time,0,QLD,Medium
540,33,43787.0,Part-time,0,QLD,Low
541,30,120040.0,Full-time,0,NSW,Good
542,28,82170.0,Full-time,1,SA,Medium
543,49,23652.0,Part-time,0,NSW,Low
544,35,46273.0,Full-time,0,VIC,Low
545,52,21760.0,Part-time,0,NSW,Low
546,40,54266.0,Full-time,2,QLD,Low
547,37,46669.0,Self-employed,0,QLD,Low
548,26,90892.0,Full-time,2,QLD,Medium
549,56,38541.0,Self-employed,0,NSW,Low
550,33,72683.0,Full-time,0,NSW,Medium
551,46,79572.0,Full-time,1,QLD,Medium
552,42,68091.0,Full-time,3,WA,Medium
553,57,105880.0,Full-time,1,NSW,Good
554,44,168408.0,Full-time,1,WA,Excellent
555,37,63321.0,Full-time,2,VIC,Medium
556,60,73320.0,Contract,2,QLD,Medium
557,63,38556.0,Full-time,0,VIC,Low
558,60,35963.0,Self-employed,1,QLD,Low
559,35,100400.0,Part-time,2,SA,Good
560,52,93973.0,Full-time,1,NSW,Medium
561,26,35782.0,Part-time,2,VIC,Low
562,56,31129.0,Self-employed,1,WA,Low
563,44,43288.0,Full-time,0,NSW,Low
564,50,55788.0,Self-employed,1,VIC,Low
565,64,48798.0,Full-time,1,NSW,Low
566,32,64878.0,Part-time,2,QLD,Medium
567,39,94706.0,Full-time,3,NSW,Medium
568,33,75437.0,Full-time,2,VIC,Medium
569,30,78281.0,Part-time,3,VIC,Medium
570,31,17575.0,Full-time,0,NSW,Low
571,65,26717.0,Full-time,2,QLD,Low
572,38,40206.0,Full-time,0,NSW,Low
573,59,43665.0,Part-time,0,WA,Low
574,28,91118.0,Full-time,1,VIC,Medium
575,34,38582.0,Full-time,1,VIC,Low
576,61,83572.0,Full-time,2,VIC,Medium
577,63,40435.0,Self-employed,1,NSW,Low
578,30,32845.0,Self-employed,2,QLD,Low
579,48,33617.0,Full-time,0,SA,Low
580,23,185189.0,Full-time,2,VIC,Excellent
581,26,39987.0,Full-time,2,VIC,Low
582,50,84583.0,Self-employed,1,QLD,Medium
583,58,27471.0,Self-employed,0,QLD,Low
584,59,121718.0,Full-time,2,QLD,Good
585,40,71291.0,Self-employed,1,SA,Medium
586,29,68665.0,Full-time,1,VIC,Medium
587,22,73638.0,Full-time,1,NSW,Medium
588,43,77808.0,Contract,0,NSW,Medium
589,38,89728.0,Self-employed,0,VIC,Medium
590,28,44376.0,Self-employed,0,QLD,Low
591,46,43097.0,Full-time,2,NSW,Low
592,25,61366.0,Full-time,1,NSW,Medium
593,57,84306.0,Self-employed,2,WA,Medium
594,27,57912.0,Part-time,1,NSW,Low
595,52,88164.0,Full-time,3,VIC,Medium
596,40,81546.0,Full-time,0,NSW,Medium
597,65,53718.0,Self-employed,0,VIC,Low
598,60,24994.0,Contract,2,VIC,Low
